年,月,日,内容
2003,10,29日,うまれる
2013,7,1日,ネット環境が整う
2015,10,16日,動画編集を始める
2016,2,　,YMM3・AviUtlインストール
2016,10,　,AviUtlで編集出来ることを知る(YMM3のエンコーダー的な扱いしかしてこなかった)
2018,12,　,結月ゆかりを知る(その前からゆかりさんが出てくる動画の視聴はしたことあると思いますが、名前を意識したのはここが初めて)
2018,12,1日,土合駅脱出RTA　収録
2019,1,15日,デスクトップパソコン（DX6785-N78J/GA）　使用開始
2019,4,　,定期的に動画編集をするようになる
2020,1,15日,伏見稲荷大社RTA・中二病でも恋がしたい!/けいおん！聖地巡礼　収録
2020,4,20日,特別定額給付金(10万円給付)が決定する
2020,5,　,ボイロ車載主様の動画を見始める
2020,7,15日,ボイロをお迎えする決意を固める
2020,7,23日,ゆかりさんが家にやってくる（VOICEROID2版）
2020,7,26日,<a href="https://www.nicovideo.jp/watch/sm37250986" target="_blank" rel="noopener noreferrer">【RTA】伏見稲荷大社 1:17:00【結月ゆかり】</a>投稿。初投稿。
2020,8,3日,<a href="https://www.nicovideo.jp/watch/sm37294047" target="_blank" rel="noopener noreferrer">404の夢日記　第一回～短編集～【VOICEROID劇場】</a>投稿。初夢日記動画。
2020,8,28日,<a href="https://www.nicovideo.jp/watch/sm37429924" target="_blank" rel="noopener noreferrer">【第六回ひじき祭】中二病でも恋がしたい！＆けいおん！聖地巡礼編【VOICEROID旅行】</a> 投稿。ひじき祭初投稿。
2020,10,3日,<a href="https://www.nicovideo.jp/watch/sm37616214" target="_blank" rel="noopener noreferrer">404の夢日記｜～原石祭編～【VOICEROID劇場】</a> 投稿。原石祭初投稿。
2020,10,4日,<a href="https://www.nicovideo.jp/watch/sm37620949" target="_blank" rel="noopener noreferrer">ポケット型ゆかりさんを作る</a>
2020,10,25日,<a href="https://www.nicovideo.jp/watch/sm37721244" target="_blank" rel="noopener noreferrer">【手抜き祭】FM89.6『404の夢日記朗読会』【VOICEROID夢日記外伝】</a> 投稿。手抜き祭初投稿。
2020,11,23日,11.23炎上事件
